,table1,col1,table2,col2,sim_score
328,Yang2016-08,Rephrase,Guo2022-16,Paraphrase,0.38546422
329,Guo2022-16,Paraphrase,Yang2016-08,Rephrase,0.38546422
330,Yang2017-01,Verification,Liu2014-14,Link modification,0.38359556
331,Yang2017-01,Wikification,Liu2014-14,Link modification,0.38359556
332,Liu2014-14,Link modification,Yang2017-01,Verification,0.38359556
333,Liu2014-14,Link modification,Yang2017-01,Wikification,0.38359556
334,Anthonio2020-03,Information Modification/Insertion,Liu2014-14,Link modification,0.38179213
335,Liu2014-14,Link modification,Anthonio2020-03,Information Modification/Insertion,0.38179213
336,Falting2021-04,Wikification,Daxenberger2012-09,File-Modification,0.37950763
337,Falting2021-04,Wikification,Daxenberger2013-17,File-Modification,0.37950763
338,Daxenberger2012-09,File-Modification,Falting2021-04,Wikification,0.37950763
339,Daxenberger2013-17,File-Modification,Falting2021-04,Wikification,0.37950763
340,Daxenberger2012-09,Revert,Pfeil2006-12,Reversion,0.3794328
341,Pfeil2006-12,Reversion,Daxenberger2012-09,Revert,0.3794328
342,Pfeil2006-12,Reversion,Daxenberger2013-17,Revert,0.3794328
343,Daxenberger2013-17,Revert,Pfeil2006-12,Reversion,0.3794328
344,Anthonio2020-03,Information Deletion,Liu2014-14,Link deletion,0.37817097
345,Liu2014-14,Link deletion,Anthonio2020-03,Information Deletion,0.37817097
346,Yang2017-01,Simplification,Daxenberger2012-09,Template-Modification,0.3767746
347,Yang2017-01,Simplification,Daxenberger2013-17,Template-Modification,0.3767746
348,Daxenberger2012-09,Template-Modification,Yang2017-01,Simplification,0.3767746
349,Daxenberger2013-17,Template-Modification,Yang2017-01,Simplification,0.3767746
350,Daxenberger2012-09,Spelling/Grammar,Failgey1981-10,Spelling,0.37488216
351,Failgey1981-10,Spelling,Daxenberger2012-09,Spelling/Grammar,0.37488216
352,Failgey1981-10,Spelling,Daxenberger2013-17,Spelling/Grammar,0.37488216
353,Daxenberger2013-17,Spelling/Grammar,Failgey1981-10,Spelling,0.37488216
354,Falting2021-04,Simplification,Yang2016-08,Template-Modification,0.37443727
355,Yang2016-08,Template-Modification,Falting2021-04,Simplification,0.37443727
356,Falting2021-04,Wikification,Liu2014-14,Link modification,0.36931166
357,Yang2017-01,Fact Update,Guo2022-16,Dynamic Update,0.36802465
358,Guo2022-16,Dynamic Update,Yang2017-01,Fact Update,0.36802465
359,Liu2014-14,Link modification,Falting2021-04,Wikification,0.3668723
360,Anthonio2020-03,Information Deletion,Spangher2022-05,Deletion,0.3663224
361,Spangher2022-05,Deletion,Anthonio2020-03,Information Deletion,0.3663224
362,Anthonio2020-03,Spelling/Grammar,Failgey1981-10,Spelling,0.36592263
363,Failgey1981-10,Spelling,Anthonio2020-03,Spelling/Grammar,0.36592263
364,Rajagopal2022-02,Add New Information,Anthonio2020-03,Information Deletion,0.3658807
365,Anthonio2020-03,Information Deletion,Rajagopal2022-02,Add New Information,0.3658807
366,Rajagopal2022-02,Add New Information,Yang2016-08,Information-Deletion,0.36555618
367,Yang2016-08,Information-Deletion,Rajagopal2022-02,Add New Information,0.36555618
368,Falting2021-04,Simplification,Daxenberger2012-09,Template-Modification,0.364868
369,Falting2021-04,Simplification,Daxenberger2013-17,Template-Modification,0.364868
370,Daxenberger2012-09,Template-Modification,Falting2021-04,Simplification,0.364868
371,Daxenberger2013-17,Template-Modification,Falting2021-04,Simplification,0.364868
372,Falting2021-04,Fact Update,Guo2022-16,Dynamic Update,0.36313444
373,Guo2022-16,Dynamic Update,Falting2021-04,Fact Update,0.36313444
374,Rajagopal2022-02,Add New Information,Daxenberger2012-09,Information-Deletion,0.3620931
375,Daxenberger2012-09,Information-Deletion,Rajagopal2022-02,Add New Information,0.3620931
376,Yang2017-01,Clarification,Guo2022-16,Citation,0.36136562
377,Guo2022-16,Citation,Yang2017-01,Clarification,0.36136562
378,Jones2008-13,Significant Deletion,Liu2014-14,Link deletion,0.3607089
379,Liu2014-14,Link deletion,Jones2008-13,Significant Deletion,0.3607089
380,Pfeil2006-12,Reversion,Liu2014-14,Revert,0.3589549
381,Liu2014-14,Revert,Pfeil2006-12,Reversion,0.3589549
